"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT05","WT05_ATTRIBUTES"
"USC00427927","1977-09-17","40.58333","-111.66667","2471.0","SNOWBIRD, UT US",,,,,,,"  156",",,0","   33",",,0",,,,,"  128",",,0,1800",,,,
"USC00427927","1977-09-24","40.58333","-111.66667","2471.0","SNOWBIRD, UT US",,,,,,,"  111",",,0","  -11",",,0",,,,,"   89",",,0,1800",,,,
"USC00427927","1977-09-25","40.58333","-111.66667","2471.0","SNOWBIRD, UT US",,,,,,,"  100",",,0","    0",",,0",,,,,"   94",",,0,1800",,,,
"USC00427927","1977-09-26","40.58333","-111.66667","2471.0","SNOWBIRD, UT US",,,,,,,"  183",",,0","   72",",,0",,,,,"  161",",,0,1800",,,,
"USC00427927","1977-09-27","40.58333","-111.66667","2471.0","SNOWBIRD, UT US",,,,,,,"  178",",,0","   89",",,0",,,,,"  150",",,0,1800",,,,
"USC00427927","1977-09-28","40.58333","-111.66667","2471.0","SNOWBIRD, UT US",,,,,,,"  172",",,0","   78",",,0",,,,,"  139",",,0,1800",,,,
"USC00427927","1977-09-29","40.58333","-111.66667","2471.0","SNOWBIRD, UT US",,,,,,,"  183",",,0","   89",",,0",,,,,"  150",",,0,1800",,,,
"USC00427927","1977-09-30","40.58333","-111.66667","2471.0","SNOWBIRD, UT US",,,,,,,"  161",",,0","  -17",",,0",,,,,"  150",",,0,1800",,,,
"USC00427927","1977-10-01","40.58333","-111.66667","2471.0","SNOWBIRD, UT US","    0",",,0,1800","    0",",,0","    0",",,0","  244",",,0","   56",",,0",,,,,"  200",",,0,1800",,,,
"USC00427927","1977-10-02","40.58333","-111.66667","2471.0","SNOWBIRD, UT US","    0",",,0,1800","    0",",,0","    0",",,0","  256",",,0","   56",",,0",,,,,"  194",",,0,1800",,,,
"USC00427927","1977-10-03","40.58333","-111.66667","2471.0","SNOWBIRD, UT US","    0",",,0,1800","    0",",,0","    0",",,0","  261",",,0","   67",",,0",,,,,"  167",",,0,1800",,,,
"USC00427927","1977-10-04","40.58333","-111.66667","2471.0","SNOWBIRD, UT US","    0",",,0,1800","    0",",,0","    0",",,0","  172",",,0","   39",",,0",,,,,"  150",",,0,1800",,,,
"USC00427927","1977-10-05","40.58333","-111.66667","2471.0","SNOWBIRD, UT US","    0",",,0,1800","    0",",,0","    0",",,0","  150",",,0","   56",",,0",,,,,"  128",",,0,1800",,,,
"USC00427927","1977-10-06","40.58333","-111.66667","2471.0","SNOWBIRD, UT US","    0",",,0,1800","    0",",,0","    0",",,0","  128",",,0","   33",",,0",,,,,"   89",",,0,1800",,,,
"USC00427927","1977-10-07","40.58333","-111.66667","2471.0","SNOWBIRD, UT US","    0",",,0,1800","    0",",,0","    0",",,0","  144",",,0","    0",",,0",,,,,"   56",",,0,1800",,,,
"USC00427927","1977-10-08","40.58333","-111.66667","2471.0","SNOWBIRD, UT US","    0",",,0,1800","    0",",,0","    0",",,0","  133",",,0","  -11",",,0",,,,,"   44",",,0,1800",,,,
"USC00427927","1977-10-09","40.58333","-111.66667","2471.0","SNOWBIRD, UT US","    0",",,0,1800","    0",",,0","    0",",,0","  128",",,0","   -6",",,0",,,,,"   39",",,0,1800",,,,
"USC00427927","1977-10-10","40.58333","-111.66667","2471.0","SNOWBIRD, UT US","    0",",,0,1800","    0",",,0","    0",",,0","  139",",,0","  -17",",,0",,,,,"   39",",,0,1800",,,,
"USC00427927","1977-10-11","40.58333","-111.66667","2471.0","SNOWBIRD, UT US","    0",",,0,1800","    0",",,0","    0",",,0","   72",",,0","  -44",",,0",,,,,"   61",",,0,1800",,,,
"USC00427927","1977-10-12","40.58333","-111.66667","2471.0","SNOWBIRD, UT US","    0",",,0,1800","    0",",,0","    0",",,0","  106",",,0","  -11",",,0",,,,,"   94",",,0,1800",,,,
"USC00427927","1977-10-13","40.58333","-111.66667","2471.0","SNOWBIRD, UT US","    0",",,0,1800","    0",",,0","    0",",,0","  144",",,0","   17",",,0",,,,,"  106",",,0,1800",,,,
"USC00427927","1977-10-14","40.58333","-111.66667","2471.0","SNOWBIRD, UT US","    0",",,0,1800","    0",",,0","    0",",,0","  167",",,0","   50",",,0",,,,,"  144",",,0,1800",,,,
"USC00427927","1977-10-15","40.58333","-111.66667","2471.0","SNOWBIRD, UT US","    0",",,0,1800","    0",",,0","    0",",,0","  178",",,0","   67",",,0",,,,,"  150",",,0,1800",,,,
"USC00427927","1977-10-16","40.58333","-111.66667","2471.0","SNOWBIRD, UT US","    0",",,0,1800","    0",",,0","    0",",,0","  172",",,0","   56",",,0",,,,,"  144",",,0,1800",,,,
"USC00427927","1977-10-17","40.58333","-111.66667","2471.0","SNOWBIRD, UT US","    0",",,0,1800","    0",",,0","    0",",,0","  189",",,0","   67",",,0",,,,,"  156",",,0,1800",,,,
"USC00427927","1977-10-18","40.58333","-111.66667","2471.0","SNOWBIRD, UT US","    0",",,0,1800","    0",",,0","    0",",,0","  222",",,0","   39",",,0",,,,,"  161",",,0,1800",,,,
"USC00427927","1977-10-19","40.58333","-111.66667","2471.0","SNOWBIRD, UT US","    0",",,0,1800","    0",",,0","    0",",,0","  161",",,0","   44",",,0",,,,,"  150",",,0,1800",,,,
"USC00427927","1977-10-20","40.58333","-111.66667","2471.0","SNOWBIRD, UT US","   81",",,0,1800","    0",",,0","    0",",,0","  161",",,0","   11",",,0",,,,,"   39",",,0,1800",,,,
"USC00427927","1977-10-21","40.58333","-111.66667","2471.0","SNOWBIRD, UT US","    0",",,0,1800","    0",",,0","    0",",,0","  178",",,0","   44",",,0",,,,,"  150",",,0,1800",,,,
"USC00427927","1977-10-22","40.58333","-111.66667","2471.0","SNOWBIRD, UT US","    0",",,0,1800","    0",",,0","    0",",,0","  189",",,0","   50",",,0",,,,,"  161",",,0,1800",,,,
"USC00427927","1977-10-23","40.58333","-111.66667","2471.0","SNOWBIRD, UT US","    0",",,0,1800","    0",",,0","    0",",,0","  172",",,0","   39",",,0",,,,,"  144",",,0,1800",,,,
"USC00427927","1977-10-24","40.58333","-111.66667","2471.0","SNOWBIRD, UT US","    0",",,0,1800","    0",",,0","    0",",,0","  194",",,0","   61",",,0",,,,,"  167",",,0,1800",,,,
"USC00427927","1977-10-25","40.58333","-111.66667","2471.0","SNOWBIRD, UT US","    0",",,0,1800","    0",",,0","    0",",,0","  167",",,0","   56",",,0",,,,,"  161",",,0,1800",,,,
"USC00427927","1977-10-26","40.58333","-111.66667","2471.0","SNOWBIRD, UT US","    0",",,0,1800","    0",",,0","    0",",,0","  183",",,0","   44",",,0",,,,,"  167",",,0,1800",,,,
"USC00427927","1977-10-27","40.58333","-111.66667","2471.0","SNOWBIRD, UT US","    0",",,0,1800","    0",",,0","    0",",,0","  178",",,0","   39",",,0",,,,,"  156",",,0,1800",,,,
"USC00427927","1977-10-28","40.58333","-111.66667","2471.0","SNOWBIRD, UT US","    0",",,0,1800","    0",",,0","    0",",,0","  156",",,0","    0",",,0",,,,,"  117",",,0,1800",,,,
"USC00427927","1977-10-29","40.58333","-111.66667","2471.0","SNOWBIRD, UT US","   53",",,0,1800","    0","T,,0","    0",",,0","  117",",,0","  -11",",,0",,,,,"   67",",,0,1800",,,,
"USC00427927","1977-10-30","40.58333","-111.66667","2471.0","SNOWBIRD, UT US","    0",",,0,1800","    0",",,0","    0",",,0","   89",",,0","  -22",",,0",,,,,"   44",",,0,1800",,,,
