"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00427924","1981-09-12","41.21667","-111.85","1958.0","SNOW BASIN, UT US","    0",",,0,1800","    0",",,0","    0",",,0",,,,,,,,,,,,,,
"USC00427924","1981-09-13","41.21667","-111.85","1958.0","SNOW BASIN, UT US","    0",",,0,1800","    0",",,0","    0",",,0",,,,,,,,,,,,,,
"USC00427924","1981-09-14","41.21667","-111.85","1958.0","SNOW BASIN, UT US","    0",",,0,1800","    0",",,0","    0",",,0",,,,,,,,,,,,,,
"USC00427924","1981-09-15","41.21667","-111.85","1958.0","SNOW BASIN, UT US","    0",",,0,1800","    0",",,0","    0",",,0",,,,,,,,,,,,,,
"USC00427924","1981-09-16","41.21667","-111.85","1958.0","SNOW BASIN, UT US","    0",",,0,1800","    0",",,0","    0",",,0",,,,,,,,,,,,,,
"USC00427924","1981-09-17","41.21667","-111.85","1958.0","SNOW BASIN, UT US","    0",",,0,1800","    0",",,0","    0",",,0",,,,,,,,,,,,,,
"USC00427924","1981-09-18","41.21667","-111.85","1958.0","SNOW BASIN, UT US","    0",",,0,1800","    0",",,0","    0",",,0",,,,,,,,,,,,,,
"USC00427924","1981-09-19","41.21667","-111.85","1958.0","SNOW BASIN, UT US","    0",",,0,1800","    0",",,0","    0",",,0",,,,,,,,,,,,,,
"USC00427924","1981-09-20","41.21667","-111.85","1958.0","SNOW BASIN, UT US","    0",",,0,1800","    0",",,0","    0",",,0",,,,,,,,,,,,,,
"USC00427924","1981-09-21","41.21667","-111.85","1958.0","SNOW BASIN, UT US","    0",",,0,1800","    0",",,0","    0",",,0",,,,,,,,,,,,,,
"USC00427924","1981-09-22","41.21667","-111.85","1958.0","SNOW BASIN, UT US","    0",",,0,1800","    0",",,0","    0",",,0",,,,,,,,,,,,,,
"USC00427924","1981-09-23","41.21667","-111.85","1958.0","SNOW BASIN, UT US","    0",",,0,1800","    0",",,0","    0",",,0",,,,,,,"    1",",,0",,,,,,
"USC00427924","1981-09-24","41.21667","-111.85","1958.0","SNOW BASIN, UT US","    0",",,0,1800","    0",",,0","    0",",,0",,,,,,,,,,,,,,
"USC00427924","1981-09-25","41.21667","-111.85","1958.0","SNOW BASIN, UT US","    0",",,0,1800","    0",",,0","    0",",,0",,,,,,,,,,,,,,
"USC00427924","1981-09-26","41.21667","-111.85","1958.0","SNOW BASIN, UT US","   51",",,0,1800","    0",",,0","    0",",,0",,,,,,,,,,,,,,
"USC00427924","1981-09-27","41.21667","-111.85","1958.0","SNOW BASIN, UT US","    0",",,0,1800","    0",",,0","    0",",,0",,,,,,,,,,,,,,
"USC00427924","1981-09-28","41.21667","-111.85","1958.0","SNOW BASIN, UT US","    0",",,0,1800","    0",",,0","    0",",,0",,,,,,,,,,,,,,
"USC00427924","1981-09-29","41.21667","-111.85","1958.0","SNOW BASIN, UT US","   25",",,0,1800","    0",",,0","    0",",,0",,,,,,,,,,,,,,
"USC00427924","1981-09-30","41.21667","-111.85","1958.0","SNOW BASIN, UT US","    0",",,0,1800","    0",",,0","    0",",,0",,,,,,,,,,,,,,
"USC00427924","1981-10-01","41.21667","-111.85","1958.0","SNOW BASIN, UT US","    0",",,0,1800","    0",",,0","    0",",,0",,,,,,,,,,,,,,
"USC00427924","1981-10-02","41.21667","-111.85","1958.0","SNOW BASIN, UT US","    0",",,0,1800","    0",",,0","    0",",,0",,,,,,,"    1",",,0",,,,,,
"USC00427924","1981-10-03","41.21667","-111.85","1958.0","SNOW BASIN, UT US","  185",",,0,1800","    0",",,0","    0",",,0",,,,,,,"    1",",,0",,,,,,
"USC00427924","1981-10-04","41.21667","-111.85","1958.0","SNOW BASIN, UT US","  201",",,0,1800","    0","T,,0","    0",",,0",,,,,,,,,,,,,,
"USC00427924","1981-10-05","41.21667","-111.85","1958.0","SNOW BASIN, UT US","   36",",,0,1800","    0",",,0","    0",",,0",,,,,,,,,,,,,,
"USC00427924","1981-10-06","41.21667","-111.85","1958.0","SNOW BASIN, UT US","    0","T,,0,1800","    0",",,0","    0",",,0",,,,,,,,,,,,,,
"USC00427924","1981-10-07","41.21667","-111.85","1958.0","SNOW BASIN, UT US","    0",",,0,1800","    0",",,0","    0",",,0",,,,,,,,,,,,,,
"USC00427924","1981-10-08","41.21667","-111.85","1958.0","SNOW BASIN, UT US","  208",",,0,1800","    0",",,0","    0",",,0",,,,,,,,,,,,,,
"USC00427924","1981-10-09","41.21667","-111.85","1958.0","SNOW BASIN, UT US","    0",",,0,1800","    0",",,0","    0",",,0",,,,,,,,,,,,,,
"USC00427924","1981-10-10","41.21667","-111.85","1958.0","SNOW BASIN, UT US","   79",",,0,1800","    0",",,0","    0",",,0",,,,,,,"    1",",,0",,,,,,
"USC00427924","1981-10-11","41.21667","-111.85","1958.0","SNOW BASIN, UT US","  460",",,0,1800","    0","T,,0","    0",",,0",,,,,,,"    1",",,0",,,,,,
"USC00427924","1981-10-12","41.21667","-111.85","1958.0","SNOW BASIN, UT US","  284",",,0,1800","   38",",,0","   51",",,0",,,,,,,,,,,,,,
"USC00427924","1981-10-13","41.21667","-111.85","1958.0","SNOW BASIN, UT US","  188",",,0,1800","   46",",,0","  102",",,0",,,,,,,,,,,,,,
"USC00427924","1981-10-14","41.21667","-111.85","1958.0","SNOW BASIN, UT US","   89",",,0,1800","    0","T,,0","   25",",,0",,,,,,,,,,,,,,
"USC00427924","1981-10-15","41.21667","-111.85","1958.0","SNOW BASIN, UT US","    0",",,0,1800","    0",",,0","    0","T,,0",,,,,,,,,,,,,,
"USC00427924","1981-10-16","41.21667","-111.85","1958.0","SNOW BASIN, UT US","  114",",,0,1800","    0","T,,0","    0",",,0",,,,,,,,,,,,,,
"USC00427924","1981-10-17","41.21667","-111.85","1958.0","SNOW BASIN, UT US","   56",",,0,1800","    0",",,0","    0",",,0",,,,,,,,,,,,,,
"USC00427924","1981-10-18","41.21667","-111.85","1958.0","SNOW BASIN, UT US","    0",",,0,1800","    0",",,0","    0",",,0",,,,,,,,,,,,,,
"USC00427924","1981-10-19","41.21667","-111.85","1958.0","SNOW BASIN, UT US","    0",",,0,1800","    0",",,0","    0",",,0",,,,,,,,,,,,,,
"USC00427924","1981-10-20","41.21667","-111.85","1958.0","SNOW BASIN, UT US","    0",",,0,1800","    0",",,0","    0",",,0",,,,,,,,,,,,,,
