"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WESF","WESF_ATTRIBUTES"
"US1UTSM0012","2021-01-25","40.67534","-111.49992","2051.9","PARK CITY 1.4 NNW, UT US","    5",",,N","   20",",,N",,,,,,,,,"    5",",,N"
"US1UTSM0012","2021-01-26","40.67534","-111.49992","2051.9","PARK CITY 1.4 NNW, UT US","    5",",,N","   10",",,N",,,,,,,,,"    8",",,N"
"US1UTSM0012","2021-01-27","40.67534","-111.49992","2051.9","PARK CITY 1.4 NNW, UT US","    0","T,,N","   10",",,N",,,,,,,,,"    3",",,N"
"US1UTSM0012","2021-01-28","40.67534","-111.49992","2051.9","PARK CITY 1.4 NNW, UT US","   18",",,N","   61",",,N",,,,,,,,,"   43",",,N"
"US1UTSM0012","2021-01-29","40.67534","-111.49992","2051.9","PARK CITY 1.4 NNW, UT US","    0","T,,N","    0","T,,N",,,,,,,,,"    0","T,,N"
"US1UTSM0012","2021-01-30","40.67534","-111.49992","2051.9","PARK CITY 1.4 NNW, UT US","   79",",,N","  114",",,N",,,,,,,,,"   81",",,N"
"US1UTSM0012","2021-01-31","40.67534","-111.49992","2051.9","PARK CITY 1.4 NNW, UT US","    0","T,,N","    0","T,,N",,,,,,,,,"    0","T,,N"
"US1UTSM0012","2021-02-01","40.67534","-111.49992","2051.9","PARK CITY 1.4 NNW, UT US","    0",",,N","    0",",,N",,,,,,,,,,
"US1UTSM0012","2021-02-02","40.67534","-111.49992","2051.9","PARK CITY 1.4 NNW, UT US","    0",",,N","    0",",,N",,,,,,,,,,
"US1UTSM0012","2021-02-03","40.67534","-111.49992","2051.9","PARK CITY 1.4 NNW, UT US","    0","T,,N","    0","T,,N",,,,,,,,,"    0","T,,N"
"US1UTSM0012","2021-02-04","40.67534","-111.49992","2051.9","PARK CITY 1.4 NNW, UT US","   51",",,N","  102",",,N",,,,,,,,,"   74",",,N"
"US1UTSM0012","2021-02-05","40.67534","-111.49992","2051.9","PARK CITY 1.4 NNW, UT US","    5",",,N","   18",",,N",,,,,,,,,"    5",",,N"
"US1UTSM0012","2021-02-06","40.67534","-111.49992","2051.9","PARK CITY 1.4 NNW, UT US","   43",",,N","   76",",,N",,,,,,,,,"   46",",,N"
"US1UTSM0012","2021-02-07","40.67534","-111.49992","2051.9","PARK CITY 1.4 NNW, UT US","    0",",,N","    0",",,N",,,,,,,,,,
"US1UTSM0012","2021-02-08","40.67534","-111.49992","2051.9","PARK CITY 1.4 NNW, UT US","    0",",,N","    0",",,N",,,,,,,,,,
"US1UTSM0012","2021-02-09","40.67534","-111.49992","2051.9","PARK CITY 1.4 NNW, UT US","    0",",,N","    0",",,N",,,,,,,,,,
"US1UTSM0012","2021-02-10","40.67534","-111.49992","2051.9","PARK CITY 1.4 NNW, UT US","    5",",,N","   13",",,N",,,,,,,,,"    5",",,N"
"US1UTSM0012","2021-02-11","40.67534","-111.49992","2051.9","PARK CITY 1.4 NNW, UT US","    0","T,,N","    0","T,,N",,,,,,,,,"    0","T,,N"
"US1UTSM0012","2021-02-12","40.67534","-111.49992","2051.9","PARK CITY 1.4 NNW, UT US","   36",",,N","   69",",,N",,,,,,,,,"   38",",,N"
"US1UTSM0012","2021-02-13","40.67534","-111.49992","2051.9","PARK CITY 1.4 NNW, UT US","   15",",,N","   10",",,N",,,,,,,,,"   18",",,N"
"US1UTSM0012","2021-02-14","40.67534","-111.49992","2051.9","PARK CITY 1.4 NNW, UT US","   25",",,N","   38",",,N",,,,,,,,,"   18",",,N"
"US1UTSM0012","2021-02-15","40.67534","-111.49992","2051.9","PARK CITY 1.4 NNW, UT US","    0","T,,N","    0","T,,N",,,,,,,,,,
"US1UTSM0012","2021-02-16","40.67534","-111.49992","2051.9","PARK CITY 1.4 NNW, UT US","   71",",,N","   94",",,N",,,,,,,,,"   81",",,N"
"US1UTSM0012","2021-02-17","40.67534","-111.49992","2051.9","PARK CITY 1.4 NNW, UT US","   33",",,N","   69",",,N",,,,,,,,,"   38",",,N"
"US1UTSM0012","2021-02-18","40.67534","-111.49992","2051.9","PARK CITY 1.4 NNW, UT US","   23",",,N","   51",",,N",,,,,,,,,"   25",",,N"
"US1UTSM0012","2021-02-19","40.67534","-111.49992","2051.9","PARK CITY 1.4 NNW, UT US","    0","T,,N","    0","T,,N",,,,,,,,,,
"US1UTSM0012","2021-02-20","40.67534","-111.49992","2051.9","PARK CITY 1.4 NNW, UT US","   25",",,N","   18",",,N",,,,,,,,,"    8",",,N"
"US1UTSM0012","2021-02-21","40.67534","-111.49992","2051.9","PARK CITY 1.4 NNW, UT US","    5",",,N","    5",",,N",,,,,,,,,"    3",",,N"
"US1UTSM0012","2021-02-22","40.67534","-111.49992","2051.9","PARK CITY 1.4 NNW, UT US","    0",",,N","    0",",,N",,,,,,,,,,
"US1UTSM0012","2021-02-23","40.67534","-111.49992","2051.9","PARK CITY 1.4 NNW, UT US","    0",",,N","    0",",,N",,,,,,,,,,
"US1UTSM0012","2021-02-24","40.67534","-111.49992","2051.9","PARK CITY 1.4 NNW, UT US","    0",",,N","    0",",,N",,,,,,,,,,
"US1UTSM0012","2021-02-25","40.67534","-111.49992","2051.9","PARK CITY 1.4 NNW, UT US","    3",",,N","    0","T,,N",,,,,,,,,"    0","T,,N"
"US1UTSM0012","2021-02-26","40.67534","-111.49992","2051.9","PARK CITY 1.4 NNW, UT US","    0","T,,N","    0","T,,N",,,,,,,,,"    0","T,,N"
"US1UTSM0012","2021-02-27","40.67534","-111.49992","2051.9","PARK CITY 1.4 NNW, UT US","   28",",,N","   64",",,N",,,,,,,,,"   38",",,N"
"US1UTSM0012","2021-02-28","40.67534","-111.49992","2051.9","PARK CITY 1.4 NNW, UT US","   10",",,N","   10",",,N",,,,,,,,,"    8",",,N"
"US1UTSM0012","2021-03-01","40.67534","-111.49992","2051.9","PARK CITY 1.4 NNW, UT US","    0","T,,N","    0","T,,N",,,,,,,,,,
"US1UTSM0012","2021-03-02","40.67534","-111.49992","2051.9","PARK CITY 1.4 NNW, UT US","    0",",,N","    0",",,N",,,,,,,,,,
"US1UTSM0012","2021-03-04","40.67534","-111.49992","2051.9","PARK CITY 1.4 NNW, UT US","    0","T,,N","    0","T,,N",,,,,,,,,,
"US1UTSM0012","2021-03-05","40.67534","-111.49992","2051.9","PARK CITY 1.4 NNW, UT US","    0",",,N","    0",",,N",,,,,,,,,,
